timestamp,cycle_sequence,phase,cmd_vx,cmd_vy,cmd_yaw,policy_loop_hz,state_age_ms,send_start_time,send_end_time,board_A_send_time,board_B_send_time,command_sequence,FR_hip_joint_q_target_raw,FR_hip_joint_q_target_safe,FR_hip_joint_q_current,FR_hip_joint_dq_current,FR_hip_joint_raw_pd_torque,FR_hip_joint_limited_torque,FR_hip_joint_feedback_torque,FR_hip_joint_torque_limited_flag,FR_hip_joint_motor_online,FR_hip_joint_motor_fault,FR_thigh_joint_q_target_raw,FR_thigh_joint_q_target_safe,FR_thigh_joint_q_current,FR_thigh_joint_dq_current,FR_thigh_joint_raw_pd_torque,FR_thigh_joint_limited_torque,FR_thigh_joint_feedback_torque,FR_thigh_joint_torque_limited_flag,FR_thigh_joint_motor_online,FR_thigh_joint_motor_fault,FR_calf_joint_q_target_raw,FR_calf_joint_q_target_safe,FR_calf_joint_q_current,FR_calf_joint_dq_current,FR_calf_joint_raw_pd_torque,FR_calf_joint_limited_torque,FR_calf_joint_feedback_torque,FR_calf_joint_torque_limited_flag,FR_calf_joint_motor_online,FR_calf_joint_motor_fault,FL_hip_joint_q_target_raw,FL_hip_joint_q_target_safe,FL_hip_joint_q_current,FL_hip_joint_dq_current,FL_hip_joint_raw_pd_torque,FL_hip_joint_limited_torque,FL_hip_joint_feedback_torque,FL_hip_joint_torque_limited_flag,FL_hip_joint_motor_online,FL_hip_joint_motor_fault,FL_thigh_joint_q_target_raw,FL_thigh_joint_q_target_safe,FL_thigh_joint_q_current,FL_thigh_joint_dq_current,FL_thigh_joint_raw_pd_torque,FL_thigh_joint_limited_torque,FL_thigh_joint_feedback_torque,FL_thigh_joint_torque_limited_flag,FL_thigh_joint_motor_online,FL_thigh_joint_motor_fault,FL_calf_joint_q_target_raw,FL_calf_joint_q_target_safe,FL_calf_joint_q_current,FL_calf_joint_dq_current,FL_calf_joint_raw_pd_torque,FL_calf_joint_limited_torque,FL_calf_joint_feedback_torque,FL_calf_joint_torque_limited_flag,FL_calf_joint_motor_online,FL_calf_joint_motor_fault,RL_hip_joint_q_target_raw,RL_hip_joint_q_target_safe,RL_hip_joint_q_current,RL_hip_joint_dq_current,RL_hip_joint_raw_pd_torque,RL_hip_joint_limited_torque,RL_hip_joint_feedback_torque,RL_hip_joint_torque_limited_flag,RL_hip_joint_motor_online,RL_hip_joint_motor_fault,RL_thigh_joint_q_target_raw,RL_thigh_joint_q_target_safe,RL_thigh_joint_q_current,RL_thigh_joint_dq_current,RL_thigh_joint_raw_pd_torque,RL_thigh_joint_limited_torque,RL_thigh_joint_feedback_torque,RL_thigh_joint_torque_limited_flag,RL_thigh_joint_motor_online,RL_thigh_joint_motor_fault,RL_calf_joint_q_target_raw,RL_calf_joint_q_target_safe,RL_calf_joint_q_current,RL_calf_joint_dq_current,RL_calf_joint_raw_pd_torque,RL_calf_joint_limited_torque,RL_calf_joint_feedback_torque,RL_calf_joint_torque_limited_flag,RL_calf_joint_motor_online,RL_calf_joint_motor_fault,RR_hip_joint_q_target_raw,RR_hip_joint_q_target_safe,RR_hip_joint_q_current,RR_hip_joint_dq_current,RR_hip_joint_raw_pd_torque,RR_hip_joint_limited_torque,RR_hip_joint_feedback_torque,RR_hip_joint_torque_limited_flag,RR_hip_joint_motor_online,RR_hip_joint_motor_fault,RR_thigh_joint_q_target_raw,RR_thigh_joint_q_target_safe,RR_thigh_joint_q_current,RR_thigh_joint_dq_current,RR_thigh_joint_raw_pd_torque,RR_thigh_joint_limited_torque,RR_thigh_joint_feedback_torque,RR_thigh_joint_torque_limited_flag,RR_thigh_joint_motor_online,RR_thigh_joint_motor_fault,RR_calf_joint_q_target_raw,RR_calf_joint_q_target_safe,RR_calf_joint_q_current,RR_calf_joint_dq_current,RR_calf_joint_raw_pd_torque,RR_calf_joint_limited_torque,RR_calf_joint_feedback_torque,RR_calf_joint_torque_limited_flag,RR_calf_joint_motor_online,RR_calf_joint_motor_fault
1783862730.327094,1,0.050913,0.000000,0.000000,0.000000,0.000,14.000,,,,,0,-0.011000,-0.011000,-0.011000,-0.110000,0.132000,0.000000,0.640000,0,1,0,-0.001000,-0.001000,-0.001000,-0.150000,0.240000,0.000000,0.000000,0,1,0,0.000000,0.000000,0.000000,-0.010000,0.016000,0.000000,0.000000,0,1,0,0.007000,0.007000,0.007000,-0.060000,0.072000,0.000000,-0.400000,0,1,0,-0.001000,-0.001000,-0.001000,0.160000,-0.256000,0.000000,0.000000,0,1,0,-0.002000,-0.002000,-0.002000,-0.170000,0.272000,0.000000,-0.260000,0,1,0,-0.011000,-0.011000,-0.011000,0.100000,-0.120000,0.000000,0.590000,0,1,0,0.001000,0.001000,0.001000,0.190000,-0.304000,0.000000,0.000000,0,1,0,0.000000,0.000000,0.000000,0.030000,-0.048000,0.000000,0.000000,0,1,0,0.008000,0.008000,0.008000,-0.100000,0.120000,0.000000,-0.200000,0,1,0,-0.002000,-0.002000,-0.002000,0.100000,-0.160000,0.000000,-0.100000,0,1,0,0.000000,0.000000,0.000000,-0.140000,0.224000,0.000000,0.000000,0,1,0
1783862730.346098,2,0.078768,0.000000,0.000000,0.000000,49.325,13.000,,,,,0,-0.011000,-0.011000,-0.011000,0.030000,-0.036000,0.000000,0.250000,0,1,0,-0.001000,-0.001000,-0.001000,0.010000,-0.016000,0.000000,0.170000,0,1,0,0.000000,0.000000,0.000000,0.020000,-0.032000,0.000000,0.000000,0,1,0,0.007000,0.007000,0.007000,0.000000,0.000000,0.000000,0.000000,0,1,0,-0.001000,-0.001000,-0.001000,0.020000,-0.032000,0.000000,-0.090000,0,1,0,-0.002000,-0.002000,-0.001000,0.120000,-0.262000,0.000000,0.000000,0,1,0,-0.011000,-0.011000,-0.011000,0.050000,-0.060000,0.000000,0.330000,0,1,0,0.001000,0.001000,0.000000,0.000000,0.070000,0.000000,-0.330000,0,1,0,0.000000,0.000000,0.000000,-0.150000,0.240000,0.000000,0.000000,0,1,0,0.008000,0.008000,0.009000,0.020000,-0.084000,0.000000,-0.510000,0,1,0,-0.002000,-0.002000,-0.002000,0.170000,-0.272000,0.000000,-0.030000,0,1,0,0.000000,0.000000,0.000000,0.090000,-0.144000,0.000000,-0.450000,0,1,0
1783862730.366227,3,0.105745,0.000000,0.000000,0.000000,50.722,15.000,,,,,0,-0.011000,-0.011000,-0.011000,0.030000,-0.036000,0.000000,0.550000,0,1,0,-0.001000,-0.001000,-0.001000,0.140000,-0.224000,0.000000,0.360000,0,1,0,0.000000,0.000000,-0.001000,-0.060000,0.166000,0.000000,0.000000,0,1,0,0.007000,0.007000,0.007000,-0.010000,0.012000,0.000000,0.000000,0,1,0,-0.001000,-0.001000,-0.001000,0.000000,0.000000,0.000000,0.000000,0,1,0,-0.002000,-0.002000,-0.001000,0.060000,-0.166000,0.000000,0.000000,0,1,0,-0.011000,-0.011000,-0.011000,0.080000,-0.096000,0.000000,0.710000,0,1,0,0.001000,0.001000,0.000000,-0.020000,0.102000,0.000000,-0.160000,0,1,0,0.000000,0.000000,0.000000,-0.090000,0.144000,0.000000,0.000000,0,1,0,0.008000,0.008000,0.009000,0.030000,-0.096000,0.000000,-0.310000,0,1,0,-0.002000,-0.002000,-0.002000,-0.070000,0.112000,0.000000,0.000000,0,1,0,0.000000,0.000000,0.000000,-0.160000,0.256000,0.000000,-0.070000,0,1,0
1783862730.391865,4,0.133373,0.000000,0.000000,0.000000,49.715,13.000,,,,,0,-0.011000,-0.011000,-0.012000,0.040000,0.012000,0.000000,0.260000,0,1,0,-0.001000,-0.001000,-0.001000,-0.090000,0.144000,0.000000,0.000000,0,1,0,0.000000,0.000000,0.000000,0.020000,-0.032000,0.000000,0.000000,0,1,0,0.007000,0.007000,0.007000,0.120000,-0.144000,0.000000,-0.130000,0,1,0,-0.001000,-0.001000,-0.002000,-0.100000,0.230000,0.000000,0.170000,0,1,0,-0.002000,-0.002000,-0.002000,-0.020000,0.032000,0.000000,0.000000,0,1,0,-0.011000,-0.011000,-0.012000,0.120000,-0.084000,0.000000,0.210000,0,1,0,0.001000,0.001000,0.001000,-0.110000,0.176000,0.000000,0.000000,0,1,0,0.000000,0.000000,0.000000,0.100000,-0.160000,0.000000,0.000000,0,1,0,0.008000,0.008000,0.009000,0.000000,-0.060000,0.000000,-0.150000,0,1,0,-0.002000,-0.002000,-0.002000,-0.120000,0.192000,0.000000,0.000000,0,1,0,0.000000,0.000000,0.000000,-0.010000,0.016000,0.000000,0.000000,0,1,0
1783862730.405385,5,0.160769,0.000000,0.000000,0.000000,50.060,14.000,,,,,0,-0.011000,-0.011000,-0.013000,0.030000,0.084000,0.000000,0.090000,0,1,0,-0.001000,-0.001000,-0.001000,-0.090000,0.144000,0.000000,-0.220000,0,1,0,0.000000,0.000000,0.000000,0.040000,-0.064000,0.000000,0.000000,0,1,0,0.007000,0.007000,0.009000,0.130000,-0.276000,0.000000,-0.180000,0,1,0,-0.001000,-0.001000,-0.002000,0.020000,0.038000,0.000000,0.000000,0,1,0,-0.002000,-0.002000,-0.002000,0.120000,-0.192000,0.000000,0.000000,0,1,0,-0.011000,-0.011000,-0.013000,-0.070000,0.204000,0.000000,0.000000,0,1,0,0.001000,0.001000,0.000000,-0.120000,0.262000,0.000000,0.000000,0,1,0,0.000000,0.000000,0.000000,0.040000,-0.064000,0.000000,0.000000,0,1,0,0.008000,0.008000,0.011000,0.120000,-0.324000,0.000000,-0.170000,0,1,0,-0.002000,-0.002000,-0.002000,-0.020000,0.032000,0.000000,0.000000,0,1,0,0.000000,0.000000,0.000000,-0.010000,0.016000,0.000000,0.000000,0,1,0
1783862730.426381,6,0.188231,0.000000,0.000000,0.000000,50.017,13.000,,,,,0,-0.011000,-0.011000,-0.013000,0.140000,-0.048000,0.000000,0.100000,0,1,0,-0.001000,-0.001000,-0.001000,-0.140000,0.224000,0.000000,0.000000,0,1,0,0.000000,0.000000,0.000000,-0.040000,0.064000,0.000000,0.000000,0,1,0,0.007000,0.007000,0.009000,-0.030000,-0.084000,0.000000,-0.170000,0,1,0,-0.001000,-0.001000,-0.002000,-0.080000,0.198000,0.000000,0.000000,0,1,0,-0.002000,-0.002000,-0.002000,-0.140000,0.224000,0.000000,-0.120000,0,1,0,-0.011000,-0.011000,-0.016000,-0.120000,0.444000,0.000000,0.280000,0,1,0,0.001000,0.001000,0.000000,-0.160000,0.326000,0.000000,0.000000,0,1,0,0.000000,0.000000,0.000000,-0.090000,0.144000,0.000000,-0.020000,0,1,0,0.008000,0.008000,0.012000,-0.050000,-0.180000,0.000000,-0.210000,0,1,0,-0.002000,-0.002000,-0.002000,-0.050000,0.080000,0.000000,-0.010000,0,1,0,0.000000,0.000000,0.000000,-0.020000,0.032000,0.000000,0.000000,0,1,0
1783862730.446193,7,0.215650,0.000000,0.000000,0.000000,49.993,14.000,,,,,0,-0.011000,-0.011000,-0.014000,-0.280000,0.516000,0.000000,0.080000,0,1,0,-0.001000,-0.001000,-0.001000,-0.010000,0.016000,0.000000,0.000000,0,1,0,0.000000,0.000000,0.000000,-0.140000,0.224000,0.000000,0.000000,0,1,0,0.007000,0.007000,0.010000,-0.020000,-0.156000,0.000000,-0.010000,0,1,0,-0.001000,-0.001000,-0.001000,0.000000,0.000000,0.000000,0.120000,0,1,0,-0.002000,-0.002000,-0.002000,-0.180000,0.288000,0.000000,-0.030000,0,1,0,-0.011000,-0.011000,-0.017000,-0.100000,0.480000,0.000000,0.340000,0,1,0,0.001000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,0,1,0,0.000000,0.000000,0.000000,0.020000,-0.032000,0.000000,0.200000,0,1,0,0.008000,0.008000,0.014000,0.020000,-0.384000,0.000000,-0.160000,0,1,0,-0.002000,-0.002000,-0.002000,0.120000,-0.192000,0.000000,0.260000,0,1,0,0.000000,0.000000,0.000000,0.030000,-0.048000,0.000000,-0.090000,0,1,0
1783862730.466537,8,0.243181,0.000000,0.000000,0.000000,50.004,14.000,,,,,0,-0.011000,-0.011000,-0.016000,-0.080000,0.396000,0.000000,0.070000,0,1,0,-0.001000,-0.001000,-0.001000,0.110000,-0.176000,0.000000,0.000000,0,1,0,0.000000,0.000000,0.000000,-0.080000,0.128000,0.000000,0.000000,0,1,0,0.007000,0.007000,0.011000,0.020000,-0.264000,0.000000,0.000000,0,1,0,-0.001000,-0.001000,-0.002000,-0.020000,0.102000,0.000000,0.090000,0,1,0,-0.002000,-0.002000,-0.002000,-0.080000,0.128000,0.000000,-0.160000,0,1,0,-0.011000,-0.011000,-0.019000,-0.020000,0.504000,0.000000,0.560000,0,1,0,0.001000,0.001000,0.001000,0.220000,-0.352000,0.000000,0.000000,0,1,0,0.000000,0.000000,0.000000,-0.090000,0.144000,0.000000,0.010000,0,1,0,0.008000,0.008000,0.014000,0.060000,-0.432000,0.000000,-0.210000,0,1,0,-0.002000,-0.002000,-0.002000,0.160000,-0.256000,0.000000,0.000000,0,1,0,0.000000,0.000000,0.000000,0.120000,-0.192000,0.000000,0.000000,0,1,0
1783862730.488225,9,0.270601,0.000000,0.000000,0.000000,49.935,14.000,,,,,0,-0.011000,-0.011000,-0.016000,-0.070000,0.384000,0.000000,0.000000,0,1,0,-0.001000,-0.001000,-0.001000,0.090000,-0.144000,0.000000,0.040000,0,1,0,0.000000,0.000000,0.000000,-0.090000,0.144000,0.000000,0.000000,0,1,0,0.007000,0.007000,0.012000,0.030000,-0.336000,0.000000,-0.240000,0,1,0,-0.001000,-0.001000,-0.001000,0.140000,-0.224000,0.000000,-0.030000,0,1,0,-0.002000,-0.002000,-0.002000,-0.110000,0.176000,0.000000,0.090000,0,1,0,-0.011000,-0.011000,-0.021000,-0.200000,0.840000,0.000000,0.350000,0,1,0,0.001000,0.001000,0.001000,0.120000,-0.192000,0.000000,0.000000,0,1,0,0.000000,0.000000,0.000000,0.030000,-0.048000,0.000000,0.000000,0,1,0,0.008000,0.008000,0.015000,0.080000,-0.516000,0.000000,-0.140000,0,1,0,-0.002000,-0.002000,-0.002000,-0.050000,0.080000,0.000000,0.000000,0,1,0,0.000000,0.000000,0.000000,-0.060000,0.096000,0.000000,0.000000,0,1,0
1783862730.507362,10,0.298490,0.000000,0.000000,0.000000,49.940,15.000,,,,,0,-0.011000,-0.011000,-0.016000,-0.020000,0.324000,0.000000,0.340000,0,1,0,-0.001000,-0.001000,-0.001000,0.060000,-0.096000,0.000000,-0.070000,0,1,0,0.000000,0.000000,0.000000,-0.080000,0.128000,0.000000,0.000000,0,1,0,0.007000,0.007000,0.012000,0.140000,-0.468000,0.000000,0.000000,0,1,0,-0.001000,-0.001000,-0.002000,-0.040000,0.134000,0.000000,-0.060000,0,1,0,-0.002000,-0.002000,-0.002000,-0.030000,0.048000,0.000000,0.000000,0,1,0,-0.011000,-0.011000,-0.024000,-0.030000,0.816000,0.000000,0.290000,0,1,0,0.001000,0.001000,0.000000,0.120000,-0.122000,0.000000,0.000000,0,1,0,0.000000,0.000000,0.000000,0.090000,-0.144000,0.000000,0.040000,0,1,0,0.008000,0.008000,0.016000,0.070000,-0.564000,0.000000,-0.120000,0,1,0,-0.002000,-0.002000,-0.002000,-0.090000,0.144000,0.000000,0.000000,0,1,0,0.000000,0.000000,0.000000,0.060000,-0.096000,0.000000,-0.110000,0,1,0
