kp,kd,step_rad,send_ms,elapsed_ms,feedback_elapsed_ms,q_base,q_target,angle,speed,position_error,response_ratio,t_ref_est,type2_torque,motor_age_ms,online,error_code
70.0,1.6,0.03,6.992872999944666,12.42474199989374,11.42474199989374,0.001,0.031,0.001,0.12,0.03,0.0,1.9080000000000001,0.0,1.0,True,0
70.0,1.6,0.03,6.992872999944666,26.937521000036213,25.937521000036213,0.001,0.031,0.001,0.15,0.03,0.0,1.86,-0.16,1.0,True,0
70.0,1.6,0.03,6.992872999944666,46.93077699994319,37.93077699994319,0.001,0.031,0.001,-0.11,0.03,0.0,2.2760000000000002,0.21,9.0,True,0
70.0,1.6,0.03,6.992872999944666,67.42985100026999,66.42985100026999,0.001,0.031,0.021,0.59,0.009999999999999998,0.6666666666666667,-0.2440000000000001,0.09,1.0,True,0
70.0,1.6,0.03,6.992872999944666,86.99031200012541,80.99031200012541,0.001,0.031,0.025,0.18,0.005999999999999998,0.8,0.1319999999999999,0.0,6.0,True,0
70.0,1.6,0.03,6.992872999944666,106.90036899995903,95.90036899995903,0.001,0.031,0.027,0.12,0.004,0.8666666666666667,0.08800000000000002,0.17,11.0,True,0
70.0,1.6,0.03,6.992872999944666,126.88722500024596,124.88722500024596,0.001,0.031,0.029,0.1,0.0019999999999999983,0.9333333333333333,-0.020000000000000157,0.0,2.0,True,0
70.0,1.6,0.03,6.992872999944666,147.05379099996208,140.05379099996208,0.001,0.031,0.029,-0.12,0.0019999999999999983,0.9333333333333333,0.33199999999999985,0.0,7.0,True,0
70.0,1.6,0.03,6.992872999944666,166.97456800011423,154.97456800011423,0.001,0.031,0.029,0.06,0.0019999999999999983,0.9333333333333333,0.04399999999999987,0.16,12.0,True,0
70.0,1.6,0.03,6.992872999944666,186.85889700009284,184.85889700009284,0.001,0.031,0.03,-0.12,0.0010000000000000009,0.9666666666666667,0.26200000000000007,0.15,2.0,True,0
70.0,1.6,0.03,6.992872999944666,207.16014800018456,200.16014800018456,0.001,0.031,0.03,0.03,0.0010000000000000009,0.9666666666666667,0.02200000000000006,0.13,7.0,True,0
70.0,1.6,0.03,6.992872999944666,226.89878300025157,214.89878300025157,0.001,0.031,0.03,0.09,0.0010000000000000009,0.9666666666666667,-0.07399999999999993,0.0,12.0,True,0
70.0,1.6,0.03,6.992872999944666,246.98730100044486,244.98730100044486,0.001,0.031,0.03,-0.01,0.0010000000000000009,0.9666666666666667,0.08600000000000006,0.11,2.0,True,0
70.0,1.6,0.03,6.992872999944666,266.8601100003798,259.8601100003798,0.001,0.031,0.03,0.02,0.0010000000000000009,0.9666666666666667,0.03800000000000006,0.14,7.0,True,0
70.0,1.6,0.03,6.992872999944666,286.9296850003593,274.9296850003593,0.001,0.031,0.03,0.01,0.0010000000000000009,0.9666666666666667,0.05400000000000006,0.0,12.0,True,0
