kp,elapsed_ms,q_base,q_target,angle,speed,type2_torque,age_ms,online,error_code
10.0,15.309311000237358,-0.007,0.023,-0.007,0.0,0.0,3.0,True,0
10.0,26.88076800041017,-0.007,0.023,-0.007,0.0,0.0,3.0,True,0
10.0,46.861724000336835,-0.007,0.023,-0.007,-0.02,0.07,5.0,True,0
10.0,66.98065500040684,-0.007,0.023,-0.006,0.07,0.04,13.0,True,0
10.0,86.88100899962592,-0.007,0.023,-0.003,0.2,0.0,3.0,True,0
10.0,106.81483300049877,-0.007,0.023,-0.002,0.16,0.17,8.0,True,0
10.0,126.89795799997228,-0.007,0.023,-0.001,-0.03,0.13,13.0,True,0
10.0,146.8142789999547,-0.007,0.023,0.002,0.02,0.21,3.0,True,0
10.0,166.9314500004475,-0.007,0.023,0.003,0.28,0.02,9.0,True,0
10.0,186.8775929997355,-0.007,0.023,0.004,0.08,0.19,14.0,True,0
10.0,206.82946400029323,-0.007,0.023,0.005,0.06,0.0,4.0,True,0
10.0,226.78923700004816,-0.007,0.023,0.006,0.01,0.13,9.0,True,0
10.0,246.90471299982164,-0.007,0.023,0.007,0.22,0.08,14.0,True,0
10.0,266.7994350003937,-0.007,0.023,0.009,0.09,0.06,4.0,True,0
10.0,286.8994870004826,-0.007,0.023,0.009,-0.04,0.0,9.0,True,0
10.0,306.8405100002565,-0.007,0.023,0.01,0.09,0.14,14.0,True,0
10.0,326.86933599961776,-0.007,0.023,0.01,0.07,0.0,4.0,True,0
10.0,346.85019599965017,-0.007,0.023,0.011,0.06,0.05,10.0,True,0
10.0,366.83348800033855,-0.007,0.023,0.011,0.01,0.21,15.0,True,0
10.0,386.8087809996723,-0.007,0.023,0.011,-0.11,0.07,5.0,True,0
10.0,406.9740129998536,-0.007,0.023,0.012,-0.01,0.0,10.0,True,0
10.0,427.1108949997142,-0.007,0.023,0.012,-0.07,0.0,0.0,True,0
10.0,446.9660360000489,-0.007,0.023,0.012,0.07,0.18,5.0,True,0
10.0,466.9490719998066,-0.007,0.023,0.012,-0.01,0.15,10.0,True,0
10.0,486.8240200003129,-0.007,0.023,0.012,0.13,0.0,0.0,True,0
10.0,506.81057600013446,-0.007,0.023,0.012,0.08,0.0,5.0,True,0
10.0,526.8568399997093,-0.007,0.023,0.012,-0.05,0.16,11.0,True,0
10.0,547.1586700004991,-0.007,0.023,0.013,0.01,0.12,1.0,True,0
10.0,566.7819549998967,-0.007,0.023,0.013,0.16,0.06,6.0,True,0
10.0,586.8071969998709,-0.007,0.023,0.013,0.01,0.13,11.0,True,0
10.0,606.7964410003697,-0.007,0.023,0.013,0.04,0.04,1.0,True,0
10.0,626.7598300000827,-0.007,0.023,0.013,0.06,0.38,6.0,True,0
10.0,646.7477940004756,-0.007,0.023,0.013,-0.05,0.14,11.0,True,0
10.0,666.8894439999349,-0.007,0.023,0.013,-0.02,0.29,1.0,True,0
10.0,686.7869180005073,-0.007,0.023,0.013,-0.2,0.0,6.0,True,0
