timestamp,cycle_sequence,phase,cmd_vx,cmd_vy,cmd_yaw,policy_loop_hz,state_age_ms,send_start_time,send_end_time,board_A_send_time,board_B_send_time,command_sequence,FR_hip_joint_q_target_raw,FR_hip_joint_q_target_safe,FR_hip_joint_q_current,FR_hip_joint_dq_current,FR_hip_joint_raw_pd_torque,FR_hip_joint_limited_torque,FR_hip_joint_feedback_torque,FR_hip_joint_torque_limited_flag,FR_hip_joint_motor_online,FR_hip_joint_motor_fault,FR_thigh_joint_q_target_raw,FR_thigh_joint_q_target_safe,FR_thigh_joint_q_current,FR_thigh_joint_dq_current,FR_thigh_joint_raw_pd_torque,FR_thigh_joint_limited_torque,FR_thigh_joint_feedback_torque,FR_thigh_joint_torque_limited_flag,FR_thigh_joint_motor_online,FR_thigh_joint_motor_fault,FR_calf_joint_q_target_raw,FR_calf_joint_q_target_safe,FR_calf_joint_q_current,FR_calf_joint_dq_current,FR_calf_joint_raw_pd_torque,FR_calf_joint_limited_torque,FR_calf_joint_feedback_torque,FR_calf_joint_torque_limited_flag,FR_calf_joint_motor_online,FR_calf_joint_motor_fault,FL_hip_joint_q_target_raw,FL_hip_joint_q_target_safe,FL_hip_joint_q_current,FL_hip_joint_dq_current,FL_hip_joint_raw_pd_torque,FL_hip_joint_limited_torque,FL_hip_joint_feedback_torque,FL_hip_joint_torque_limited_flag,FL_hip_joint_motor_online,FL_hip_joint_motor_fault,FL_thigh_joint_q_target_raw,FL_thigh_joint_q_target_safe,FL_thigh_joint_q_current,FL_thigh_joint_dq_current,FL_thigh_joint_raw_pd_torque,FL_thigh_joint_limited_torque,FL_thigh_joint_feedback_torque,FL_thigh_joint_torque_limited_flag,FL_thigh_joint_motor_online,FL_thigh_joint_motor_fault,FL_calf_joint_q_target_raw,FL_calf_joint_q_target_safe,FL_calf_joint_q_current,FL_calf_joint_dq_current,FL_calf_joint_raw_pd_torque,FL_calf_joint_limited_torque,FL_calf_joint_feedback_torque,FL_calf_joint_torque_limited_flag,FL_calf_joint_motor_online,FL_calf_joint_motor_fault,RL_hip_joint_q_target_raw,RL_hip_joint_q_target_safe,RL_hip_joint_q_current,RL_hip_joint_dq_current,RL_hip_joint_raw_pd_torque,RL_hip_joint_limited_torque,RL_hip_joint_feedback_torque,RL_hip_joint_torque_limited_flag,RL_hip_joint_motor_online,RL_hip_joint_motor_fault,RL_thigh_joint_q_target_raw,RL_thigh_joint_q_target_safe,RL_thigh_joint_q_current,RL_thigh_joint_dq_current,RL_thigh_joint_raw_pd_torque,RL_thigh_joint_limited_torque,RL_thigh_joint_feedback_torque,RL_thigh_joint_torque_limited_flag,RL_thigh_joint_motor_online,RL_thigh_joint_motor_fault,RL_calf_joint_q_target_raw,RL_calf_joint_q_target_safe,RL_calf_joint_q_current,RL_calf_joint_dq_current,RL_calf_joint_raw_pd_torque,RL_calf_joint_limited_torque,RL_calf_joint_feedback_torque,RL_calf_joint_torque_limited_flag,RL_calf_joint_motor_online,RL_calf_joint_motor_fault,RR_hip_joint_q_target_raw,RR_hip_joint_q_target_safe,RR_hip_joint_q_current,RR_hip_joint_dq_current,RR_hip_joint_raw_pd_torque,RR_hip_joint_limited_torque,RR_hip_joint_feedback_torque,RR_hip_joint_torque_limited_flag,RR_hip_joint_motor_online,RR_hip_joint_motor_fault,RR_thigh_joint_q_target_raw,RR_thigh_joint_q_target_safe,RR_thigh_joint_q_current,RR_thigh_joint_dq_current,RR_thigh_joint_raw_pd_torque,RR_thigh_joint_limited_torque,RR_thigh_joint_feedback_torque,RR_thigh_joint_torque_limited_flag,RR_thigh_joint_motor_online,RR_thigh_joint_motor_fault,RR_calf_joint_q_target_raw,RR_calf_joint_q_target_safe,RR_calf_joint_q_current,RR_calf_joint_dq_current,RR_calf_joint_raw_pd_torque,RR_calf_joint_limited_torque,RR_calf_joint_feedback_torque,RR_calf_joint_torque_limited_flag,RR_calf_joint_motor_online,RR_calf_joint_motor_fault
1783902812.845356,1,0.037037,0.000000,0.000000,0.000000,0.000,15.000,,,,,0,0.000000,-0.227733,-0.393000,-0.070000,23.664000,10.000000,0.000000,1,1,0,0.563000,0.142029,0.001000,-0.080000,39.468002,10.000000,0.000000,1,1,0,-0.950000,-0.148457,-0.004000,-0.070000,-66.108002,-10.000000,0.000000,1,1,0,0.000000,0.220133,0.385000,0.090000,-23.207998,-10.000000,0.000000,1,1,0,-0.563000,-0.143171,-0.001000,0.030000,-39.388004,-10.000000,0.000000,1,1,0,0.950000,0.143771,0.000000,0.040000,66.435997,10.000000,0.000000,1,1,0,0.000000,-0.250733,-0.418000,0.030000,25.044001,10.000000,0.000000,1,1,0,-0.563000,-0.146543,-0.003000,-0.030000,-39.152000,-10.000000,0.000000,1,1,0,0.950000,0.143714,0.002000,-0.050000,66.440002,10.000000,0.000000,1,1,0,0.000000,0.229733,0.395000,0.070000,-23.784000,-10.000000,0.000000,1,1,0,0.563000,0.137800,-0.003000,-0.090000,39.764004,10.000000,0.000000,1,1,0,-0.950000,-0.141943,0.000000,0.040000,-66.564003,-10.000000,0.000000,1,1,0
1783902812.864272,2,0.074074,0.000000,0.000000,0.000000,48.131,15.000,,,,,0,0.000000,-0.223933,-0.393000,0.120000,23.436001,10.000000,0.000000,1,1,0,0.563000,0.140886,0.001000,-0.130000,39.548004,10.000000,0.000000,1,1,0,-0.950000,-0.146857,-0.004000,0.000000,-66.220001,-10.000000,0.000000,1,1,0,0.000000,0.217933,0.385000,-0.020000,-23.075998,-10.000000,0.000000,1,1,0,-0.563000,-0.143400,-0.001000,0.020000,-39.372005,-10.000000,0.000000,1,1,0,0.950000,0.142857,0.000000,0.000000,66.500000,10.000000,0.000000,1,1,0,0.000000,-0.253133,-0.418000,-0.090000,25.188000,10.000000,0.000000,1,1,0,-0.563000,-0.145857,-0.003000,0.000000,-39.200001,-10.000000,0.000000,1,1,0,0.950000,0.141886,0.002000,-0.130000,66.568001,10.000000,0.000000,1,1,0,0.000000,0.226933,0.395000,-0.070000,-23.616001,-10.000000,0.000000,1,1,0,0.563000,0.140086,-0.003000,0.010000,39.604004,10.000000,0.000000,1,1,0,-0.950000,-0.144229,0.000000,-0.060000,-66.403999,-10.000000,0.000000,1,1,0
1783902812.885884,3,0.111111,0.000000,0.000000,0.000000,50.029,15.000,,,,,0,0.000000,-0.223933,-0.393000,0.120000,23.436001,10.000000,0.000000,1,1,0,0.563000,0.140886,0.001000,-0.130000,39.548004,10.000000,0.000000,1,1,0,-0.950000,-0.146857,-0.004000,0.000000,-66.220001,-10.000000,0.000000,1,1,0,0.000000,0.217933,0.385000,-0.020000,-23.075998,-10.000000,0.000000,1,1,0,-0.563000,-0.143400,-0.001000,0.020000,-39.372005,-10.000000,0.000000,1,1,0,0.950000,0.142857,0.000000,0.000000,66.500000,10.000000,0.000000,1,1,0,0.000000,-0.253133,-0.418000,-0.090000,25.188000,10.000000,0.000000,1,1,0,-0.563000,-0.145857,-0.003000,0.000000,-39.200001,-10.000000,0.000000,1,1,0,0.950000,0.141886,0.002000,-0.130000,66.568001,10.000000,0.000000,1,1,0,0.000000,0.226933,0.395000,-0.070000,-23.616001,-10.000000,0.000000,1,1,0,0.563000,0.140086,-0.003000,0.010000,39.604004,10.000000,0.000000,1,1,0,-0.950000,-0.144229,0.000000,-0.060000,-66.403999,-10.000000,0.000000,1,1,0
1783902812.903656,4,0.148148,0.000000,0.000000,0.000000,51.985,12.000,,,,,0,0.000000,-0.226133,-0.393000,0.010000,23.568001,10.000000,0.000000,1,1,0,0.563000,0.145314,0.002000,0.020000,39.238003,10.000000,0.000000,1,1,0,-0.950000,-0.148229,-0.004000,-0.060000,-66.124001,-10.000000,0.000000,1,1,0,0.000000,0.220533,0.385000,0.110000,-23.231998,-10.000000,0.000000,1,1,0,-0.563000,-0.149343,-0.001000,-0.240000,-38.956005,-10.000000,0.000000,1,1,0,0.950000,0.140343,0.000000,-0.110000,66.676003,10.000000,0.000000,1,1,0,0.000000,-0.250533,-0.418000,0.040000,25.032000,10.000000,0.000000,1,1,0,-0.563000,-0.147229,-0.003000,-0.060000,-39.104000,-10.000000,0.000000,1,1,0,0.950000,0.144171,0.002000,-0.030000,66.407997,10.000000,0.000000,1,1,0,0.000000,0.228333,0.395000,0.000000,-23.700001,-10.000000,0.000000,1,1,0,0.563000,0.141914,-0.003000,0.090000,39.476002,10.000000,0.000000,1,1,0,-0.950000,-0.139657,0.000000,0.140000,-66.723999,-10.000000,0.000000,1,1,0
1783902812.924165,5,0.185185,0.000000,0.000000,0.000000,49.552,13.000,,,,,0,0.000000,-0.224533,-0.393000,0.090000,23.472000,10.000000,0.000000,1,1,0,0.563000,0.144771,0.001000,0.040000,39.276005,10.000000,0.000000,1,1,0,-0.950000,-0.147314,-0.004000,-0.020000,-66.188004,-10.000000,0.000000,1,1,0,0.000000,0.217533,0.385000,-0.040000,-23.051998,-10.000000,0.000000,1,1,0,-0.563000,-0.142714,-0.001000,0.050000,-39.420006,-10.000000,0.000000,1,1,0,0.950000,0.138971,0.000000,-0.170000,66.772003,10.000000,0.000000,1,1,0,0.000000,-0.249733,-0.418000,0.080000,24.983999,10.000000,0.000000,1,1,0,-0.563000,-0.145400,-0.003000,0.020000,-39.232002,-10.000000,0.000000,1,1,0,0.950000,0.144857,0.002000,0.000000,66.360001,10.000000,0.000000,1,1,0,0.000000,0.226933,0.395000,-0.070000,-23.616001,-10.000000,0.000000,1,1,0,0.563000,0.142143,-0.003000,0.100000,39.460003,10.000000,0.000000,1,1,0,-0.950000,-0.143086,0.000000,-0.010000,-66.484001,-10.000000,0.000000,1,1,0
1783902812.943996,6,0.222222,0.000000,0.000000,0.000000,50.393,15.000,,,,,0,0.000000,-0.225333,-0.393000,0.050000,23.520000,10.000000,0.000000,1,1,0,0.563000,0.139514,0.001000,-0.190000,39.644005,10.000000,0.000000,1,1,0,-0.950000,-0.149371,-0.004000,-0.110000,-66.043999,-10.000000,0.000000,1,1,0,0.000000,0.214733,0.385000,-0.180000,-22.883999,-10.000000,0.000000,1,1,0,-0.563000,-0.143629,-0.001000,0.010000,-39.356003,-10.000000,0.000000,1,1,0,0.950000,0.142857,0.000000,0.000000,66.500000,10.000000,0.000000,1,1,0,0.000000,-0.251333,-0.418000,0.000000,25.080000,10.000000,0.000000,1,1,0,-0.563000,-0.148143,-0.003000,-0.100000,-39.040001,-10.000000,0.000000,1,1,0,0.950000,0.145086,0.002000,0.010000,66.344002,10.000000,0.000000,1,1,0,0.000000,0.228733,0.395000,0.020000,-23.724001,-10.000000,0.000000,1,1,0,0.563000,0.143971,-0.003000,0.180000,39.332005,10.000000,0.000000,1,1,0,-0.950000,-0.139657,0.000000,0.140000,-66.723999,-10.000000,0.000000,1,1,0
1783902812.964266,7,0.259259,0.000000,0.000000,0.000000,49.825,12.000,,,,,0,0.000000,-0.224933,-0.393000,0.070000,23.496000,10.000000,0.000000,1,1,0,0.563000,0.142943,0.001000,-0.040000,39.404003,10.000000,0.000000,1,1,0,-0.950000,-0.146857,-0.004000,0.000000,-66.220001,-10.000000,0.000000,1,1,0,0.000000,0.219933,0.385000,0.080000,-23.195999,-10.000000,0.000000,1,1,0,-0.563000,-0.143171,-0.001000,0.030000,-39.388004,-10.000000,0.000000,1,1,0,0.950000,0.144686,0.000000,0.080000,66.372002,10.000000,0.000000,1,1,0,0.000000,-0.250933,-0.418000,0.020000,25.056000,10.000000,0.000000,1,1,0,-0.563000,-0.145171,-0.003000,0.030000,-39.248001,-10.000000,0.000000,1,1,0,0.950000,0.146457,0.002000,0.070000,66.248001,10.000000,0.000000,1,1,0,0.000000,0.228933,0.395000,0.030000,-23.736000,-10.000000,0.000000,1,1,0,0.563000,0.139629,-0.003000,-0.010000,39.636002,10.000000,0.000000,1,1,0,-0.950000,-0.142629,0.000000,0.010000,-66.515999,-10.000000,0.000000,1,1,0
1783902812.984181,8,0.296296,0.000000,0.000000,0.000000,49.896,14.000,,,,,0,0.000000,-0.220933,-0.393000,0.270000,23.256001,10.000000,0.000000,1,1,0,0.563000,0.144543,0.001000,0.030000,39.292004,10.000000,0.000000,1,1,0,-0.950000,-0.145943,-0.004000,0.040000,-66.284004,-10.000000,0.000000,1,1,0,0.000000,0.217733,0.385000,-0.030000,-23.063999,-10.000000,0.000000,1,1,0,-0.563000,-0.142714,-0.001000,0.050000,-39.420006,-10.000000,0.000000,1,1,0,0.950000,0.143314,0.000000,0.020000,66.468002,10.000000,0.000000,1,1,0,0.000000,-0.249333,-0.418000,0.100000,24.959999,10.000000,0.000000,1,1,0,-0.563000,-0.146086,-0.003000,-0.010000,-39.184002,-10.000000,0.000000,1,1,0,0.950000,0.145086,0.002000,0.010000,66.344002,10.000000,0.000000,1,1,0,0.000000,0.228733,0.395000,0.020000,-23.724001,-10.000000,0.000000,1,1,0,0.563000,0.137343,-0.003000,-0.110000,39.796001,10.000000,0.000000,1,1,0,-0.950000,-0.144686,0.000000,-0.080000,-66.372002,-10.000000,0.000000,1,1,0
1783902813.004175,9,0.333333,0.000000,0.000000,0.000000,50.170,14.000,,,,,0,0.000000,-0.229333,-0.393000,-0.150000,23.760000,10.000000,0.000000,1,1,0,0.563000,0.149429,0.002000,0.200000,38.950005,10.000000,0.000000,1,1,0,-0.950000,-0.146171,-0.004000,0.030000,-66.267998,-10.000000,0.000000,1,1,0,0.000000,0.218133,0.385000,-0.010000,-23.087999,-10.000000,0.000000,1,1,0,-0.563000,-0.142486,-0.001000,0.060000,-39.436005,-10.000000,0.000000,1,1,0,0.950000,0.144229,0.000000,0.060000,66.403999,10.000000,0.000000,1,1,0,0.000000,-0.250933,-0.418000,0.020000,25.056000,10.000000,0.000000,1,1,0,-0.563000,-0.143343,-0.003000,0.110000,-39.375999,-10.000000,0.000000,1,1,0,0.950000,0.142800,0.002000,-0.090000,66.503998,10.000000,0.000000,1,1,0,0.000000,0.228733,0.395000,0.020000,-23.724001,-10.000000,0.000000,1,1,0,0.563000,0.138486,-0.003000,-0.060000,39.716003,10.000000,0.000000,1,1,0,-0.950000,-0.141486,0.000000,0.060000,-66.596001,-10.000000,0.000000,1,1,0
1783902813.024491,10,0.370370,0.000000,0.000000,0.000000,49.887,14.000,,,,,0,0.000000,-0.223333,-0.393000,0.150000,23.400000,10.000000,0.000000,1,1,0,0.563000,0.142714,0.001000,-0.050000,39.420006,10.000000,0.000000,1,1,0,-0.950000,-0.145257,-0.004000,0.070000,-66.332001,-10.000000,0.000000,1,1,0,0.000000,0.216133,0.385000,-0.110000,-22.967999,-10.000000,0.000000,1,1,0,-0.563000,-0.142257,-0.001000,0.070000,-39.452003,-10.000000,0.000000,1,1,0,0.950000,0.141257,0.000000,-0.070000,66.612000,10.000000,0.000000,1,1,0,0.000000,-0.251733,-0.418000,-0.020000,25.104000,10.000000,0.000000,1,1,0,-0.563000,-0.147686,-0.003000,-0.080000,-39.072002,-10.000000,0.000000,1,1,0,0.950000,0.144400,0.002000,-0.020000,66.391998,10.000000,0.000000,1,1,0,0.000000,0.230133,0.395000,0.090000,-23.808001,-10.000000,0.000000,1,1,0,0.563000,0.135743,-0.003000,-0.180000,39.908001,10.000000,0.000000,1,1,0,-0.950000,-0.143086,0.000000,-0.010000,-66.484001,-10.000000,0.000000,1,1,0
